Question	Answer1	Answer2	SU Type	SU Sub Type	Question Type
where does the mysterious witch live ?	a cave on atlas ' mountain	the atlas mountains	Concept	Entity	Relation between Concepts
"when harney and charity run into a drunk mr. royall , who is with him ?"	prostitutes .	prostitutes .	Concept	Entity	Temporal Relation
what town did daisy encounter jim in ?	story did not mention	outside town	Concept	Entity	Event Argument - Concept
herzl focused his political activity on the behalf of what belief system ?	herz focused his political efforts on behalf of zionism .	zionism	Concept	Entity	Nested Relation
what is the name of the painting that sparks an outcry at salon des refuses ?	plein air .	plein air .	Concept	Entity	Attribute of Concept
what proof does mrs. cheveley have that sir robert made his money illegially ?	a lettter .	a letter	Concept	Common Noun Phrases	Nested Relation
who abandons the city of troy after foreseeing its fall ?	"calchas , a soothsayer ."	calchas .	Concept	Entity	Temporal Relation
in which city were the records of the han s traitorous transactions ?	nu-yok	nu-yok	Concept	Entity	Attribute of Concept
what is kamala s profession ?	a courtesan .	high priced whore	Concept	Common Noun Phrases	Attribute of Concept
where does siddhartha decided to live the rest of his life ?	by the river .	the river	Concept	Common Noun Phrases	Event Argument - Concept
what does balthus witness conan doing in the forrest ?	conan was slaying a forrest devil .	conan is slaying a forest devil	Event	Event Expression	Nested Relation
what type of doctor does livingston intend to become ?	psychiatrist	pyschiatrist	Concept	Common Noun Phrases	Attribute of Concept
who accidentally boards the duncan ?	jacques paganel	jacques paganel .	Concept	Entity	Event Argument - Concept
how many stories was in doyle s list of best stories ?	12	12	Attribute	Numerics	Attribute of Concept
what occurrence was foretold ?	the death of bartley	the death of her sons	Event	Event Expression	Nested Relation
what does mr. peters want to buy from tom ?	some of his inventions .	some of his inventions	Concept	Common Noun Phrases	Event Argument - Concept
how doew plilammon feel after the murder ?	despondent .	he is despondent	Attribute	States	Attribute of Concept
why do the jews seem to attract persecution where there was n't any previously ?	"the political question of if there is a good number or too many jews has n't been addressed , even in civilized countries ."	the seem to come in multiples .	Event	Event Expression	Causal Relation
what final planet do the men land on in the expedition ?	earth	earth .	Concept	Entity	Event Argument - Concept
what is la grande breteche ?	an abandoned manor	a house that has been left empty for years .	Attribute	Descriptions	Attribute of Concept
why was almayer so upset when the body was found floating in the river ?	because the body was wearing dain s jewelry and now he has no chance to find the gold	he thought it was dain and that without him he d never find the mine .	Event	Event Expression	Causal Relation
who does tregennis blame for his sister s death ?	the devil	the devil .	Concept	Entity	Event Argument - Concept
who controls the government at the beginning of newton s experimentation ?	the democrats	democratic party	Concept	Entity	Temporal Relation
how does lodowick and mathias die ?	after a duel .	they kill each other in a duel .	Event	Event Expression	Nested Relation
where is jim held in ?	joe clark s barn .	the barn of joe clarke	Concept	Entity	Event Argument - Concept
why does asotus become emboldened by vanity and self -love ?	he drank from narcissus ' spring	he drank from narcissus ' spring	Event	Event Expression	Causal Relation
who was gilbert markham s first romantic interest ?	eliza millward .	helen graham	Concept	Entity	Event Argument - Concept
"why is romola s faith in florence and , specifically , savonarola , shaken ?"	she pleads savonarola to intervene with the death sentences against the supporters who include her godfather .	he wo n't intervene in the deaths of the medici family supporters	Event	Event Expression	Causal Relation
who makes a pass at liza ?	jim blakeston	jim blakeston	Concept	Entity	Event Argument - Concept
when does anne realize her true feelings for gilbert ?	when he becomes sick	when she finds out he has typhoid fever and is gravely ill .	Event	Event Expression	Temporal Relation
who rescues irene from the goblins ?	curdie .	curdie .	Concept	Entity	Event Argument - Concept
what is anthea experiencing as a result of numerous nuclear wars ?	a terrible drought	drought	Concept	Common Noun Phrases	Causal Relation
who did christopher love and marry after serving time in prison ?	"maria , mr.fletcher s granddaughter ."	maria wyndham	Concept	Entity	Temporal Relation
why does kate return ?	she hears that her child is ill .	her child got sick	Event	Event Expression	Causal Relation
what is tom trying to desperately get working ?	his latest invention .	his latest invention	Concept	Common Noun Phrases	Event Argument - Concept
what did socrates compare to the origin of words start ?	to a artist	idea linked to a name	Attribute	Descriptions	Event Argument - Concept
who argues on behalf of dave ?	elder childers argues on behalf of dave	elder childers	Concept	Entity	Event Argument - Concept
"according to pozdnyshev , women will not have equal rights until what happens ?"	they are no longer viewed as objects of desire	they are not viewed as objects of desire	Event	Event Expression	Temporal Relation
why does n't hypatia become a christian ?	she is murdered by a crowd .	she is murdered before she gets the chance to convert	Event	Event Expression	Causal Relation
what happened to gilbert ?	he became very sick and anne then realized she loved him and went to see him .	he becomes gravely ill with typhoid fever but survives and becomes engaged to anne .	Event	Event Expression	Nested Relation
what prompted monsieur de merret s suspicion ?	a noise coming from the closet	hearing a noise	Concept	Entity	Event Argument - Concept
what nationality is ahmed s mother ?	she is spanish .	his mother was spanish .	Attribute	States	Relation between Concepts
when was the ban restriction on the collection of stories lifted ?	1940	in 1940	Attribute	Numerics	Event Argument - Attribute
what ca n't monty tell other people ?	the reason why he is living in excess .	why he is splurging	Concept	Common Noun Phrases	Nested Relation
who served as a model who claude s open air painting ?	christine .	"christine hallgrain , who later becomes his wife ."	Concept	Entity	Event Argument - Concept
what was the name of falder s lawyer ?	frome	frome	Concept	Entity	Attribute of Concept
in the end what happens to the goblins ?	they drown	the goblins drowned	Event	Event Expression	Nested Relation
why is rebecca s family poor ?	"because of the children , the morgage , and her father not keeping a job"	too many kids and no jobs	Event	Event Expression	Causal Relation
how many phases did the court compliment competition have ?	4 phases	2	Attribute	Numerics	Attribute of Concept
what effect does the spring of narcissus have on those who drink from it ?	grow enamored of themselves	they become enamoured with themselves .	Event	Event Expression	Causal Relation
what is michael s relationship to maurya ?	michael is maurya s son .	her son	Concept	Common Noun Phrases	Relation between Concepts
what is grassou s biggest goal ?	to get into the academy	to enter the academy .	Attribute	Descriptions	Attribute of Concept
what nationality is mrs. mcbride ?	american .	american	Attribute	States	Relation between Concepts
who refuels the ship ?	robots	robots	Concept	Common Noun Phrases	Event Argument - Concept
what did madam de merret s husband discover about her ?	that she was having an affair .	he discovered that she had a lover .	Event	Event Expression	Nested Relation
what does pozdnyshev refer to as the last excuse for our swinish life ?	children .	children	Concept	Common Noun Phrases	Event Argument - Concept
what is claude s occupation ?	painter	he is a painter or artist .	Concept	Common Noun Phrases	Attribute of Concept
who wants to receive the affection of mrs. graham ?	walter hargrave .	mr. lawrence .	Concept	Entity	Event Argument - Concept
"what did diana refuse before she left on her journey , demonstrating her independence ?"	a marriage proposal	marriage proposal	Concept	Common Noun Phrases	Temporal Relation
what happens to newton s eyes during the x-ray by the fbi ?	he is blinded .	he is blinded	Event	Event Expression	Temporal Relation
what does soames request of his friend before departing to hell ?	that he attempts to let people known soames existed .	"the he , soames , actually existed ."	Event	Event Expression	Temporal Relation
why did madam de merret ask the mason to knock a hole in the door ?	so she could look at her lover s face one last time .	so she could see he lover one last time .	Event	Event Expression	Causal Relation
what does charity do for a living ?	she is a librarian .	a librarian .	Concept	Common Noun Phrases	Attribute of Concept
what does astolfo hope to find in ethiopia ?	a cure for orlando s madness	a cure for orlando s madness	Concept	Common Noun Phrases	Event Argument - Concept
what do most of the letters focus on ?	the characters reactions to one another .	the characters opinions of each other	Concept	Common Noun Phrases	Event Argument - Concept
why did the soviet union ban the collection of stories ?	because of alleged occultism	the stories contained occultism	Event	Event Expression	Causal Relation
who s name is the letter addressed to that sir robert reads in the final act ?	the addressee s name is not mentioned	no one	Concept	Entity	Nested Relation
what does pete do to cover up kate s disappearance ?	he creates fake letters to and from kate .	fabricates an uncle that she is visiting	Event	Event Expression	Nested Relation
why does ahmed rape and mistreat diana ?	because diana is of endlish descent .	she is english	Attribute	Descriptions	Causal Relation
what instrument does pozdnyshev s wife s lover play ?	violin	violin	Concept	Common Noun Phrases	Event Argument - Concept
who is john girdle stone s son ?	ezra	ezra girdlestone	Concept	Entity	Relation between Concepts
"what does eliza , on her death bed , request of her daughter mary ?"	eliza requests that mary marry charles .	that she marry charles	Event	Event Expression	Temporal Relation
where do angelica and medoro elope to ?	cathay	they elope to cathay .	Concept	Entity	Event Argument - Concept
the senecan ghost is named what ?	machiavel	machiavel	Concept	Entity	Attribute of Concept
"upon his upbringing , what is otto known for ?"	his wise counsel and peaceful nature	salesman	Attribute	Descriptions	Temporal Relation
what is the goblin prince s name ?	harelip .	harelip .	Concept	Entity	Attribute of Concept
why does n't maurya have to worry about the sea anymore ?	it has already taken her husband and all her sons	everyone is dead	Event	Event Expression	Causal Relation
why did jim and dave fight ?	daisy s affection .	for daisy s affection .	Concept	Common Noun Phrases	Causal Relation
why does pete leave the island for good at the end of the story ?	he leaves so that kate and phillip can be together .	to become governor	Event	Event Expression	Causal Relation
what is the name of newton s home planet ?	anthea	anthea	Concept	Entity	Attribute of Concept
who rescues curdie from the goblins ?	princess irene	irene .	Concept	Entity	Event Argument - Concept
what kinds of killings does lazarus commit ?	lazarus commits mercy killings on patients .	mercy killings	Concept	Common Noun Phrases	Event Argument - Concept
why did the cia decide not to release the results of newton s rigorous testing ?	in fear that people would not believe them	because they think they will not be believed and instead embarrass the government	Event	Event Expression	Causal Relation
who punishes troilus ?	the god of love	the god of love	Concept	Entity	Event Argument - Concept
in what estate did helen live with huntingdon ?	grassdale .	wildfell hall .	Concept	Book-Specific	Relation between Concepts
who bought sunnybrook farm for construction purposes ?	the railway company	railway company	Concept	Entity	Event Argument - Concept
what does laura offer to the goblins ?	some of her hair and a tear	a lock of her hair and a tear	Concept	Common Noun Phrases	Event Argument - Concept
what is landsmann s ultimate profession ?	lawyer	a lawyer	Concept	Common Noun Phrases	Attribute of Concept
what city did monck march into ?	london	the city of london .	Concept	Entity	Event Argument - Concept
what is another name for the goddess diana ?	cynthia	cynthia	Concept	Entity	Relation between Concepts
who does pozdnyshevs wife start to like ?	troukhatchevsky	a fellow violinist .	Concept	Entity	Event Argument - Concept
how would classify the kind of character holmes was ?	protagonist .	fresh and fair	Attribute	States	Attribute of Concept
why does ann not return mary s feelings of affection ?	because ann is already involved in an unrequited love .	because she is in unrequited love with someone else	Event	Event Expression	Causal Relation
what does diana do with a revolver when ahmed decides to send her away ?	tries to kill herself	tries to shoot herself .	Event	Event Expression	Temporal Relation
who told the sisters their brother may be dead ?	the priest	the priest	Concept	Common Noun Phrases	Event Argument - Concept
what is the condition that brewster s uncle makes for giving him the inheritance ?	brewster must spend the one million dollars from his grandfather s inheritance in a year .	could not keep any of grandfather s money	Attribute	Descriptions	Event Argument - Concept
who drank from the spring at cynthia s revels ?	all the courtiers and ladies who attended cynthia s revels	the courtiers and ladies that are there and asotus	Concept	Common Noun Phrases	Event Argument - Concept
why is immigration of jews a problem in the story ?	the non-jewish public fear their numbers	the native population is concerned about there being too many in their area .	Event	Event Expression	Causal Relation
who is the governor s son ?	lodowick	lodowick .	Concept	Entity	Relation between Concepts
what does beerbohm say is the one habit that makes soames noticable ?	he always wears the same gray cape and soft black hat	his wardrobe of choice .	Attribute	Descriptions	Attribute of Concept
who do laura and lizzie tell about the evil of goblin fruit ?	their children	their children .	Concept	Entity	Event Argument - Concept
what is the name of the farm rebecca lived on with her siblings ?	sunnybrook farm	sunnybrook farm	Concept	Book-Specific	Event Argument - Concept
what would replace the king on his throne ?	an ape	an ape .	Concept	Common Noun Phrases	Event Argument - Concept
where does pete say kate went when she left him ?	to see an uncle in liverpool	to liverpool to live with a fictional uncle .	Event	Event Expression	Nested Relation
what does pierce armitage prepare to do ?	claim his daughter .	claim innocent legally as his daughter .	Event	Event Expression	Nested Relation
how many children does jim blakeston have ?	5	jim blakeston has five children .	Attribute	Numerics	Attribute of Concept
why does phillammon travel to alexandria ?	to hear hypatia lecture .	to attend hypatia s lectures	Event	Event Expression	Causal Relation
what does rebecca name the farm ?	sunnybrook	sunnybrook	Concept	Book-Specific	Event Argument - Concept
where do anne and philippa stay after their first year in college ?	patty s place	patty s place cottage	Concept	Book-Specific	Temporal Relation
"in the opening of the play , whose home is the dinner party held at ?"	sir robert chiltern	sir robert chiltern	Concept	Entity	Event Argument - Concept
what was innocent lured into ?	a romance .	a romance .	Concept	Common Noun Phrases	Event Argument - Concept
why does pozdnyshev not chase after the violinist ?	because it would be ridiculous to run after him in socks	to not appear rediculous	Event	Event Expression	Causal Relation
what did madam de merret and her husband do after walling off the closet ?	they stayed in the bedroom for a few days with the sounds of her lover trapped .	stay in the bedroom	Event	Event Expression	Temporal Relation
what did dain vow to come back and help almayer with ?	he vowed to come back and help almayer find the gold mine .	finding the gold mine	Event	Event Expression	Nested Relation
who is christopher blake ?	he is a descendant of a rich and arisocratic family .	a descendant of a rich family .	Attribute	States	Attribute of Concept
what is fashionable district in london called ?	grosvenor square	grosvenor square	Concept	Entity	Attribute of Concept
what happens to claude at the end of the story ?	he hangs himself .	he hangs himself	Event	Event Expression	Temporal Relation
what is the name of the messenger from the inca of perusalem ?	captain duval	captain duval	Concept	Entity	Relation between Concepts
what was herzi securing from the ottoman authorities ?	an official legal sanction .	legal sanction	Concept	Common Noun Phrases	Event Argument - Concept
what is the name of grant s yacht ?	the duncan	the duncan .	Concept	Book-Specific	Relation between Concepts
what happened on september 3rd 1651 ?	rev . nehemiah holdenough ceded the pulpit .	thanksgiving service	Event	Event Expression	Temporal Relation
who was cleared by poirot ?	cavendish	john cavendish	Concept	Entity	Event Argument - Concept
what was jim s punishment for being found guilty ?	jim was banished from his town for two years .	2 years banishment	Event	Event Expression	Nested Relation
why did the plan fail ?	the agent found diamond mines in south africa	bonafide diamond mines were disscovered in south africa	Event	Event Expression	Causal Relation
what does the higher class of jews have to deal with ?	mobs	angry mobs	Concept	Common Noun Phrases	Event Argument - Concept
why is christopher forced to work as a laborer ?	he needed money .	to support his mother and two sisters after the death of his father .	Attribute	States	Causal Relation
what does charles do immediately after he and mary are wed ?	he leaves for the continent .	he leaves for the continent .	Event	Event Expression	Temporal Relation
"when mary s brother dies , who is his heir ?"	mary .	mary .	Concept	Entity	Temporal Relation
who does deerslayer refuse to marry ?	judith	judith	Concept	Entity	Event Argument - Concept
why do the gods of darkness mark conan for death ?	he misused the symbol of jhebbal sag .	he misused the jhebbal sag symbol	Event	Event Expression	Causal Relation
what was rodgers exposed to while investigating ?	radioactive gas	radioactive gas .	Concept	Common Noun Phrases	Temporal Relation
what visual was used to describe going against the laws ?	going against the laws was compared to a child striking a parent .	citizens are bound to laws like children are bound to parents .	Attribute	Descriptions	Event Argument - Attribute
where will they send an agent to find diamond mines ?	the ural mountains .	the ural mountains .	Concept	Entity	Nested Relation
who switches theodora s letter to hector so that josiah receives it ?	morella winmarleigh .	morella winmarleigh	Concept	Entity	Causal Relation
where was armitage discovered alive ?	italy	italy	Concept	Entity	Event Argument - Concept
what is cathleen s relationship to nora ?	cathleen is nora s sister	sisters	Concept	Common Noun Phrases	Relation between Concepts
who was the last owner of la grande breteche ?	madame de merret .	madame de merret .	Concept	Entity	Relation between Concepts
what is the title of clause painting at the annual salon ?	plein air .	plein air	Concept	Common Noun Phrases	Relation between Concepts
socrates believes that the best possible way to speak is using names that what ?	are like the thing that they are naming .	that are like the things they name	Attribute	Descriptions	Nested Relation
what was the witch able to forsee for mankind ?	a utopia	utopia	Concept	Common Noun Phrases	Event Argument - Concept
what happens to lady blythe after she confesses the truth about innocent s paternity ?	she dies	she dies .	Event	Event Expression	Temporal Relation
"prior to her brother s death , how did mary spend most of her time outside of the home ?"	she worked with charities .	with her charity	Event	Event Expression	Nested Relation
who committed the crime ?	alfred inglethorp and evelyn howard	alfred and evelyn .	Concept	Entity	Event Argument - Concept
why do the americans have to devise new strategical methods in order to overcome the hans ?	the hans enhanced the security on their ships .	"rogers improved their security system , and thus provided them technological supremacy ."	Event	Event Expression	Causal Relation
what suggestion does troilus make to criseyde in order for her not to be exchanged to the greeks ?	that they elope .	he suggests they elope	Event	Event Expression	Nested Relation
"what did samson use to kill 3,000 men according to the bible ?"	samson used a donkey s jawbone .	a donkey jawbone .	Concept	Book-Specific	Event Argument - Concept
who offers to make a deal with saomes ?	the devil	the devil	Concept	Entity	Event Argument - Concept
why did mr. royall marry chartiy ?	to protect her because she was pregnant .	he married her to protect her .	Event	Event Expression	Causal Relation
what do anne and phillipa have in common ?	they are both from bolingbroke .	both are from bolingbroke nova scotia	Event	Event Expression	Event Trigger
why was ayrton labeled a traitor ?	he tried to seize control of the ship to practice piracy .	he tried to take over the britannia	Event	Event Expression	Causal Relation
how is the appearance of enoch soames described in the story ?	dim and leaving little impression	"not very remarkable , but dim ."	Attribute	States	Attribute of Concept
was herzl affiliated with zionism ?	only on behalf of them politically .	yes	Attribute	Descriptions	Event Argument - Attribute
who are the americans fighting in their second war of independence ?	the hans .	hans .	Concept	Entity	Nested Relation
why was n't mortimer at the house when his sister died and his brothers went insane ?	"although he had spent the previous day with them , he returned to cornwall that night"	he had left after a visit with them .	Event	Event Expression	Causal Relation
what religion does hypatia hate ?	christianity .	christianity	Concept	Common Noun Phrases	Relation between Concepts
why did n't anne accept gilberts proposal ?	"although they were close , anne wanted a very specific look of a man ."	she s dreaming of true love	Attribute	Descriptions	Causal Relation
what does brewster charter in order to decrease his funds ?	a cruise	a cruise	Concept	Common Noun Phrases	Causal Relation
what was holmes first name ?	sherlock .	sherlock	Attribute	States	Attribute of Concept
why did mary marry charles ?	it was requested on her mother s deathbed .	because her mother requested it on her deathbed .	Event	Event Expression	Causal Relation
whod id sir henry meet on his way to the lodge ?	captain wildrake .	cromwell	Concept	Entity	Event Argument - Concept
who is pandarus ?	criseyde s uncle .	criseyde s uncle	Attribute	Descriptions	Relation between Concepts
when does diana realize that she is in love with ahmed ?	during the ride back to camp .	when her escape attempt is foiled	Event	Event Expression	Temporal Relation
